423, All That Jazz , 123, Color, English, English, R, 0, 1979, 7.8, 1.85, http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1
391, Conan the Barbarian , 129, Color, English, English, R, 20000000, 1982, 6.9, 2.35, http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1
431, Creepshow , 130, Color, English, English, R, 8000000, 1982, 6.9, 1.85, http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1
215, Total Recall , 113, Color, English, English, R, 65000000, 1990, 7.5, 1.85, http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1
289, Terminator 2: Judgment Day , 153, Color, English, English, R, 102000000, 1991, 8.5, 2.35, http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1
442, Batman Returns , 126, Color, English, English, PG-13, 80000000, 1992, 7.0, 1.85, http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1
417, Last Action Hero , 130, Color, English, English, PG-13, 70000000, 1993, 6.2, 2.35, http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1
292, True Lies , 141, Color, English, English, R, 115000000, 1994, 7.2, 2.35, http://www.imdb.com/title/tt0111503/?ref_=fn_tt_tt_1
351, Cutthroat Island , 124, Color, English, English, PG-13, 98000000, 1995, 5.6, 2.35, http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1
310, Batman Forever , 121, Color, English, English, PG-13, 100000000, 1995, 5.4, 1.85, http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1
366, Die Hard with a Vengeance , 128, Color, English, English, R, 90000000, 1995, 7.6, 2.35, http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1
77, Waterworld , 176, Color, English, English, PG-13, 175000000, 1995, 6.1, 1.85, http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
489, Mars Attacks! , 106, Color, English, English, PG-13, 70000000, 1996, 6.3, 2.35, http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1
298, The Hunchback of Notre Dame , 91, Color, English, English, G, 100000000, 1996, 6.9, 1.78, http://www.imdb.com/title/tt0116583/?ref_=fn_tt_tt_1
296, Eraser , 115, Color, English, English, R, 100000000, 1996, 6.1, 2.35, http://www.imdb.com/title/tt0116213/?ref_=fn_tt_tt_1
494, Daylight , 114, Color, English, English, PG-13, 80000000, 1996, 5.8, 1.85, http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1
395, Twister , 113, Color, English, English, PG-13, 92000000, 1996, 6.3, 2.35, http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1
439, Mission: Impossible , 110, Color, English, English, PG-13, 80000000, 1996, 7.1, 2.35, http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1
467, Space Jam , 88, Color, English, English, PG, 80000000, 1996, 6.3, 1.77, http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1
478, DÃ©jÃ  Vu , 117, Color, English, English, PG-13, 0, 1997, 7.0, 1.85, http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1
333, The Fifth Element , 126, Color, English, English, PG-13, 93000000, 1997, 7.7, 2.35, http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1
218, Batman & Robin , 125, Color, English, English, PG-13, 125000000, 1997, 3.7, 1.85, http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1
253, Tomorrow Never Dies , 119, Color, English, English, PG-13, 110000000, 1997, 6.5, 2.35, http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1
27, Titanic , 194, Color, English, English, PG-13, 200000000, 1997, 7.7, 2.35, http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
311, Starship Troopers , 129, Color, English, English, R, 105000000, 1997, 7.2, 1.85, http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1
376, Contact , 150, Color, English, English, PG, 90000000, 1997, 7.4, 2.35, http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1
248, Dante's Peak , 108, Color, English, English, PG-13, 116000000, 1997, 5.8, 2.35, http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1
470, Conspiracy Theory , 135, Color, English, English, R, 75000000, 1997, 6.7, 2.35, http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1
325, The Spanish Prisoner , 110, Color, English, English, PG, 10000000, 1997, 7.3, 1.85, http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1
353, Men in Black , 98, Color, English, English, PG-13, 90000000, 1997, 7.3, 1.85, http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1
491, The Edge , 117, Color, English, English, R, 0, 1997, 6.9, 2.35, http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1
382, The Saint , 116, Color, English, English, PG-13, 68000000, 1997, 6.2, 2.35, http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1
500, The Postman , 177, Color, English, English, R, 80000000, 1997, 6.0, 2.35, http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1
465, Flubber , 90, Color, English, English, PG, 80000000, 1997, 5.2, 1.85, http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1
268, Speed 2: Cruise Control , 121, Color, English, English, PG-13, 160000000, 1997, 3.7, 2.35, http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1
461, Con Air , 123, Color, English, English, R, 75000000, 1997, 6.8, 2.35, http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1
387, Volcano , 104, Color, English, English, PG-13, 90000000, 1997, 5.4, 1.85, http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1
456, Face/Off , 138, Color, English, English, R, 80000000, 1997, 7.3, 2.35, http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1
